scheme,function,npoints,CFL,do-time,itavgtime,extime,writetime,L1,L2,LINF,L1_m,L2_m,LINF_m
upw,sgn,200,0.50, 2.30000000E-04, 3.02631579E-06, 3.86700000E-03, 3.38300000E-03, 3.46436436E+00, 1.00839219E+00, 4.82563661E-01, 2.45092350E+00, 8.50382859E-01, 4.80113870E-01
upw,sgn,800,0.50, 1.11400000E-03, 3.71333333E-06, 8.55600000E-03, 7.17100000E-03, 6.90534483E+00, 1.42184450E+00, 4.85620207E-01, 4.87817632E+00, 1.19428459E+00, 4.73580022E-01
upw,sgn,1600,0.50, 1.14200000E-03, 1.90333333E-06, 1.08430000E-02, 9.53300000E-03, 9.76883935E+00, 1.69133034E+00, 4.89826365E-01, 6.90433011E+00, 1.42143721E+00, 4.81301999E-01
upw,sgn,6400,0.50, 1.03820000E-02, 4.32583333E-06, 4.83350000E-02, 3.75670000E-02, 1.95424943E+01, 2.39239406E+00, 4.94911088E-01, 1.38169884E+01, 2.01147400E+00, 4.90644900E-01
cnt,sgn,200,0.50, 2.81000000E-04, 3.69736842E-06, 4.63300000E-03, 4.04400000E-03, 5.48354703E+03, 1.05034716E+03, 3.52992979E+02, 9.54367809E+01, 2.10417179E+01, 8.17532672E+00
cnt,sgn,800,0.50, 1.14700000E-03, 3.82333333E-06, 8.17800000E-03, 6.73100000E-03, 4.39965374E+14, 6.14141387E+13, 1.32467391E+13, 2.55853898E+07, 4.10878290E+06, 1.03172054E+06
cnt,sgn,1600,0.50, 2.86200000E-03, 4.77000000E-06, 1.58190000E-02, 1.25680000E-02, 1.50709305E+29, 1.77066573E+28, 3.68425089E+27, 4.50961511E+14, 6.36744117E+13, 1.41756673E+13
cnt,sgn,6400,0.50, 1.80580000E-02, 7.52416667E-06, 5.69000000E-02, 3.81680000E-02, 2.54573190+116, 2.06834178+115, 2.38087424+114, 1.89362711E+58, 1.82384056E+57, 2.93153239E+56
lax,sgn,200,0.50, 9.30000000E-05, 1.22368421E-06, 1.56300000E-03, 1.34800000E-03, 6.15847584E+01, 7.82790404E+00, 1.00000000E+00, 7.95847584E+01, 8.90371168E+00, 1.00000000E+00
lax,sgn,800,0.50, 4.53000000E-04, 1.51000000E-06, 5.73700000E-03, 5.12300000E-03, 2.48662013E+02, 1.57605402E+01, 1.00000000E+00, 3.23662013E+02, 1.79831762E+01, 1.00000000E+00
lax,sgn,1600,0.50, 3.61400000E-03, 6.02333333E-06, 1.80250000E-02, 1.40120000E-02, 4.98662013E+02, 2.23247537E+01, 1.00000000E+00, 6.48662013E+02, 2.54635941E+01, 1.00000000E+00
lax,sgn,6400,0.50, 1.18710000E-02, 4.94625000E-06, 4.94700000E-02, 3.72280000E-02, 1.99866201E+03, 4.47034073E+01, 1.00000000E+00, 2.59866201E+03, 5.09744507E+01, 1.00000000E+00
lxw,sgn,200,0.50, 1.02000000E-04, 1.34210526E-06, 1.57600000E-03, 1.35700000E-03, 2.60032565E+00, 7.98018083E-01, 5.08611065E-01, 2.15839880E+00, 8.16776807E-01, 6.14798244E-01
lxw,sgn,800,0.50, 6.26000000E-04, 2.08666667E-06, 5.60900000E-03, 4.84700000E-03, 4.71485897E+00, 1.13633545E+00, 6.24739548E-01, 3.55648855E+00, 9.84477427E-01, 6.00876967E-01
lxw,sgn,1600,0.50, 1.87300000E-03, 3.12166667E-06, 1.17500000E-02, 9.69600000E-03, 6.22053491E+00, 1.29014177E+00, 6.33610820E-01, 4.68917590E+00, 1.12221519E+00, 6.15049413E-01
lxw,sgn,6400,0.50, 2.28450000E-02, 9.51875000E-06, 6.09840000E-02, 3.77320000E-02, 1.07906690E+01, 1.66157788E+00, 6.46045858E-01, 8.14912015E+00, 1.45356382E+00, 6.34700812E-01
mcc,sgn,200,0.50, 1.00000000E-04, 1.31578947E-06, 1.56600000E-03, 1.34800000E-03, 1.89687513E+01, 4.10606304E+00, 9.99998382E-01, 8.98533498E+00, 2.73826102E+00, 9.98825176E-01
mcc,sgn,800,0.50, 5.74000000E-04, 1.91333333E-06, 5.61000000E-03, 4.89300000E-03, 7.47187500E+01, 8.39595726E+00, 1.00000000E+00, 3.73593750E+01, 5.86282788E+00, 1.00000000E+00
