TITLE="sgn_cnt_1.00_20_10.00"
 VARIABLES = "x-nodes", "Analytical", "Numerical", "Error"
 ZONE
 T=   "sgn_cnt_1.00_20"
I=20 , DATAPACKING=POINT
-4.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-3.5789474E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-3.1578947E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-2.7368421E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-2.3157895E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-1.8947368E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-1.4736842E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
-1.0526316E+01  0.0000000E+00 -4.6875000E-02  4.6875000E-02
-6.3157895E+00  0.0000000E+00  3.9062500E-01 -3.9062500E-01
-2.1052632E+00  0.0000000E+00 -6.5625000E-01  6.5625000E-01
 2.1052632E+00  0.0000000E+00 -5.3125000E-01  5.3125000E-01
 6.3157895E+00  0.0000000E+00  5.1562500E-01 -5.1562500E-01
 1.0526316E+01  0.0000000E+00  9.5312500E-01 -9.5312500E-01
 1.4736842E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
 1.8947368E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
 2.3157895E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
 2.7368421E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
 3.1578947E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
 3.5789474E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
 4.0000000E+01  1.0000000E+00  1.0000000E+00  0.0000000E+00
