TITLE="sgn_lax_1.00_20_10.00"
 VARIABLES = "x-nodes", "Analytical", "Numerical", "Error"
 ZONE
 T=   "sgn_lax_1.00_20"
I=20 , DATAPACKING=POINT
-4.0000000E+01  0.0000000E+00  2.6562500E-01 -2.6562500E-01
-3.5789474E+01  0.0000000E+00  1.5625000E-02 -1.5625000E-02
-3.1578947E+01  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-2.7368421E+01  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-2.3157895E+01  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-1.8947368E+01  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-1.4736842E+01  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-1.0526316E+01  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-6.3157895E+00  0.0000000E+00  1.4062500E-01 -1.4062500E-01
-2.1052632E+00  0.0000000E+00  1.4062500E-01 -1.4062500E-01
 2.1052632E+00  0.0000000E+00  1.4062500E-01 -1.4062500E-01
 6.3157895E+00  0.0000000E+00  2.1875000E-01 -2.1875000E-01
 1.0526316E+01  0.0000000E+00  2.1875000E-01 -2.1875000E-01
 1.4736842E+01  1.0000000E+00  9.3750000E-02  9.0625000E-01
 1.8947368E+01  1.0000000E+00  9.3750000E-02  9.0625000E-01
 2.3157895E+01  1.0000000E+00  9.3750000E-02  9.0625000E-01
 2.7368421E+01  1.0000000E+00  9.3750000E-02  9.0625000E-01
 3.1578947E+01  1.0000000E+00  9.3750000E-02  9.0625000E-01
 3.5789474E+01  1.0000000E+00  9.3750000E-02  9.0625000E-01
 4.0000000E+01  1.0000000E+00  2.5000000E-01  7.5000000E-01
